"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"Rnf128"	"Rnf128"	0.419777408459559	-0.0479423476898779	-0.208278027025291	0.539635900070594	0.0717458037771973	-0.226389159810099	-0.0959795126830075	-0.253997593933282	"S02"	0.539635900070594	"IS04"
"Slc38a1"	"Slc38a1"	0.149359135482657	0.303322719870834	0.0113856937699751	0.538875112879448	-0.125991949187447	0.269786377881291	-0.255180873424709	-0.40718007391039	"S02"	0.538875112879448	"IS04"
"Esyt2"	"Esyt2"	0.0413719508540973	0.150946858528134	-0.803298918029446	0.535081281960022	-0.363936396260086	0.429450763804312	0.287238523525641	-0.311264331699533	"S02"	0.535081281960022	"IS04"
"Lcp2"	"Lcp2"	0.00200940057730341	0.36873003767361	-0.911972572753346	0.532929257119334	-0.179029364989547	0.513872706879716	0.348946163276131	-0.626525712671073	"S02"	0.532929257119334	"IS04"
"Trgc4"	"Trgc4"	-0.21577274637404	0.517778771273276	-0.207861079006992	0.522480686538602	-0.142152738455802	-0.225935955442383	0.0353201431567527	-0.140855908886754	"S02"	0.522480686538602	"IS04"
"Gm11802"	"Gm11802"	-0.163406061120007	0.0573512803079299	-0.157414505545607	0.517725901354647	-0.0381981287440141	0.232269486286509	-0.172351648407599	-0.19196890920196	"S02"	0.517725901354647	"IS04"
"Cdon"	"Cdon"	0.226083407217697	-0.114186170376582	0.0509360267249588	0.501698454946439	-0.120408121525156	0.180997615434787	0.0493276980224112	-0.376211148458346	"S02"	0.501698454946439	"IS04"
"Gm10130"	"Gm10130"	-0.243698516636913	0.105792792793129	0.0844539879093022	0.496567579862349	-0.190084681257462	0.310338351667039	-0.0850691710087493	-0.212060314706452	"S02"	0.496567579862349	"IS04"
"Gm31812"	"Gm31812"	-0.175197572526841	0.249069176189297	-0.16877366153419	0.494026618750692	0.0860263637583378	-0.18344963210238	-0.0253141785781478	-0.205821538456329	"S02"	0.494026618750692	"IS04"
"Slc35f2"	"Slc35f2"	0.0897521477541299	0.224655984856593	-0.241165812311813	0.488577558280734	-0.183197959513567	-0.143236660114539	-0.138561872309738	-0.00672690222509445	"S02"	0.488577558280734	"IS04"
"Coro2a"	"Coro2a"	-0.357036607561825	0.378643431551813	-0.48701619191255	0.485951829380554	0.349285003359323	0.120848204540748	-0.282634396495671	-0.346790867644656	"S02"	0.485951829380554	"IS04"
"Gm41335"	"Gm41335"	-0.163488014367888	-0.165202923609509	-0.157493453841065	0.485861370931825	0.247211581838393	-0.171188536783766	-0.172438088147152	-0.0530364605198903	"S02"	0.485861370931825	"IS04"
"Mcu"	"Mcu"	-0.252956222300289	0.422166876822621	-0.42119306375195	0.48267969884635	-0.0729120474042776	0.481965401511037	-0.0725634293619837	-0.437234356113366	"S02"	0.48267969884635	"IS04"
